VARIANT_CLASS	AF	HIGH	LOW	MODERATE	MODIFIER
deletion	>0.5%	412	855	603	1208322
indel	>0.5%	0	2	3	3583
insertion	>0.5%	260	977	573	1380654
SNV	>0.5%	1109	41402	35717	10877171
deletion	0.1-0.5%	392	316	492	433985
indel	0.1-0.5%	0	1	0	6431
insertion	0.1-0.5%	197	376	345	529654
SNV	0.1-0.5%	852	18675	23682	4375036
deletion	<0.1%	2849	1003	1988	1295678
indel	<0.1%	1	0	4	8428
insertion	<0.1%	1382	826	1144	1037730
SNV	<0.1%	5432	80467	119843	17817903
