abh107;Abkhasian;West Eurasia
abh100;Abkhasian;West Eurasia
HGDP01402;Adygei;West Eurasia
HGDP01401;Adygei;West Eurasia
HGDP01382;Adygei;West Eurasia
HGDP01387;Adygei;West Eurasia
HGDP01399;Adygei;West Eurasia
HGDP01381;Adygei;West Eurasia
HGDP01386;Adygei;West Eurasia
HGDP01398;Adygei;West Eurasia
HGDP01404;Adygei;West Eurasia
HGDP01384;Adygei;West Eurasia
HGDP01396;Adygei;West Eurasia
HGDP01383;Adygei;West Eurasia
HGDP01388;Adygei;West Eurasia
HGDP01403;Adygei;West Eurasia
HGDP01385;Adygei;West Eurasia
HGDP01397;Adygei;West Eurasia
HGDP01400;Adygei;West Eurasia
NA19704;African_Ancestry_SW;Africa
NA19711;African_Ancestry_SW;Africa
NA19836;African_Ancestry_SW;Africa
NA19901;African_Ancestry_SW;Africa
NA19913;African_Ancestry_SW;Africa
NA19918;African_Ancestry_SW;Africa
NA19920;African_Ancestry_SW;Africa
NA19982;African_Ancestry_SW;Africa
NA20129;African_Ancestry_SW;Africa
NA20282;African_Ancestry_SW;Africa
NA20287;African_Ancestry_SW;Africa
NA20294;African_Ancestry_SW;Africa
NA20299;African_Ancestry_SW;Africa
NA20302;African_Ancestry_SW;Africa
NA20314;African_Ancestry_SW;Africa
NA20319;African_Ancestry_SW;Africa
NA20321;African_Ancestry_SW;Africa
NA20333;African_Ancestry_SW;Africa
NA20340;African_Ancestry_SW;Africa
NA20345;African_Ancestry_SW;Africa
NA20357;African_Ancestry_SW;Africa
NA20364;African_Ancestry_SW;Africa
NA19703;African_Ancestry_SW;Africa
NA19708;African_Ancestry_SW;Africa
NA20414;African_Ancestry_SW;Africa
NA19828;African_Ancestry_SW;Africa
NA19835;African_Ancestry_SW;Africa
NA19900;African_Ancestry_SW;Africa
NA19905;African_Ancestry_SW;Africa
NA19917;African_Ancestry_SW;Africa
NA19924;African_Ancestry_SW;Africa
NA20128;African_Ancestry_SW;Africa
NA20274;African_Ancestry_SW;Africa
NA20279;African_Ancestry_SW;Africa
NA20281;African_Ancestry_SW;Africa
NA20298;African_Ancestry_SW;Africa
NA20301;African_Ancestry_SW;Africa
NA20313;African_Ancestry_SW;Africa
NA20318;African_Ancestry_SW;Africa
NA20320;African_Ancestry_SW;Africa
NA20332;African_Ancestry_SW;Africa
NA20337;African_Ancestry_SW;Africa
NA20344;African_Ancestry_SW;Africa
NA20349;African_Ancestry_SW;Africa
NA20351;African_Ancestry_SW;Africa
NA20356;African_Ancestry_SW;Africa
NA20363;African_Ancestry_SW;Africa
NA19700;African_Ancestry_SW;Africa
NA19705;African_Ancestry_SW;Africa
NA19712;African_Ancestry_SW;Africa
NA19625;African_Ancestry_SW;Africa
NA19818;African_Ancestry_SW;Africa
NA19902;African_Ancestry_SW;Africa
NA19914;African_Ancestry_SW;Africa
NA19919;African_Ancestry_SW;Africa
NA19921;African_Ancestry_SW;Africa
NA19983;African_Ancestry_SW;Africa
NA20322;African_Ancestry_SW;Africa
NA20334;African_Ancestry_SW;Africa
NA20339;African_Ancestry_SW;Africa
NA20341;African_Ancestry_SW;Africa
NA20346;African_Ancestry_SW;Africa
NA20358;African_Ancestry_SW;Africa
NA20360;African_Ancestry_SW;Africa
NA20276;African_Ancestry_SW;Africa
NA20288;African_Ancestry_SW;Africa
NA20290;African_Ancestry_SW;Africa
NA20295;African_Ancestry_SW;Africa
NA19834;African_Ancestry_SW;Africa
NA19904;African_Ancestry_SW;Africa
NA19909;African_Ancestry_SW;Africa
NA19916;African_Ancestry_SW;Africa
NA19923;African_Ancestry_SW;Africa
NA19985;African_Ancestry_SW;Africa
NA20127;African_Ancestry_SW;Africa
NA19702;African_Ancestry_SW;Africa
NA19707;African_Ancestry_SW;Africa
NA19714;African_Ancestry_SW;Africa
NA20336;African_Ancestry_SW;Africa
NA20343;African_Ancestry_SW;Africa
NA20348;African_Ancestry_SW;Africa
NA20350;African_Ancestry_SW;Africa
NA20355;African_Ancestry_SW;Africa
NA20362;African_Ancestry_SW;Africa
NA20413;African_Ancestry_SW;Africa
NA20278;African_Ancestry_SW;Africa
NA20285;African_Ancestry_SW;Africa
NA20292;African_Ancestry_SW;Africa
NA20297;African_Ancestry_SW;Africa
NA20300;African_Ancestry_SW;Africa
NA20312;African_Ancestry_SW;Africa
NA20317;African_Ancestry_SW;Africa
NA19701;African_Ancestry_SW;Africa
NA19713;African_Ancestry_SW;Africa
NA19819;African_Ancestry_SW;Africa
NA19908;African_Ancestry_SW;Africa
NA19915;African_Ancestry_SW;Africa
NA19922;African_Ancestry_SW;Africa
NA19984;African_Ancestry_SW;Africa
NA20126;African_Ancestry_SW;Africa
NA20335;African_Ancestry_SW;Africa
NA20342;African_Ancestry_SW;Africa
NA20347;African_Ancestry_SW;Africa
NA20359;African_Ancestry_SW;Africa
NA20361;African_Ancestry_SW;Africa
NA20412;African_Ancestry_SW;Africa
NA20277;African_Ancestry_SW;Africa
NA20284;African_Ancestry_SW;Africa
NA20289;African_Ancestry_SW;Africa
NA20291;African_Ancestry_SW;Africa
NA20296;African_Ancestry_SW;Africa
NA20316;African_Ancestry_SW;Africa
HG01882;African_Caribbean;Africa
HG01887;African_Caribbean;Africa
HG01894;African_Caribbean;Africa
HG01914;African_Caribbean;Africa
HG02107;African_Caribbean;Africa
HG01988;African_Caribbean;Africa
HG02051;African_Caribbean;Africa
HG02145;African_Caribbean;Africa
HG01990;African_Caribbean;Africa
HG02013;African_Caribbean;Africa
HG02258;African_Caribbean;Africa
HG02486;African_Caribbean;Africa
HG02501;African_Caribbean;Africa
HG01879;African_Caribbean;Africa
HG02450;African_Caribbean;Africa
HG01881;African_Caribbean;Africa
HG02455;African_Caribbean;Africa
HG02479;African_Caribbean;Africa
HG02481;African_Caribbean;Africa
HG01956;African_Caribbean;Africa
HG02309;African_Caribbean;Africa
HG02316;African_Caribbean;Africa
HG02323;African_Caribbean;Africa
HG02330;African_Caribbean;Africa
HG01987;African_Caribbean;Africa
HG01886;African_Caribbean;Africa
HG02284;African_Caribbean;Africa
HG02429;African_Caribbean;Africa
HG02436;African_Caribbean;Africa
HG02537;African_Caribbean;Africa
HG02549;African_Caribbean;Africa
HG02012;African_Caribbean;Africa
HG02144;African_Caribbean;Africa
HG02055;African_Caribbean;Africa
HG02257;African_Caribbean;Africa
HG02283;African_Caribbean;Africa
HG02485;African_Caribbean;Africa
HG02497;African_Caribbean;Africa
HG02505;African_Caribbean;Africa
HG02536;African_Caribbean;Africa
HG02555;African_Caribbean;Africa
HG02478;African_Caribbean;Africa
HG02480;African_Caribbean;Africa
HG02428;African_Caribbean;Africa
HG02442;African_Caribbean;Africa
HG02308;African_Caribbean;Africa
HG02315;African_Caribbean;Africa
HG02322;African_Caribbean;Africa
HG02334;African_Caribbean;Africa
HG02339;African_Caribbean;Africa
HG01958;African_Caribbean;Africa
HG01960;African_Caribbean;Africa
HG01880;African_Caribbean;Africa
HG01883;African_Caribbean;Africa
HG01888;African_Caribbean;Africa
HG01890;African_Caribbean;Africa
HG01895;African_Caribbean;Africa
HG01915;African_Caribbean;Africa
HG02009;African_Caribbean;Africa
HG02011;African_Caribbean;Africa
HG02054;African_Caribbean;Africa
HG02095;African_Caribbean;Africa
HG02108;African_Caribbean;Africa
HG01885;African_Caribbean;Africa
HG01897;African_Caribbean;Africa
HG01912;African_Caribbean;Africa
HG01989;African_Caribbean;Africa
HG02014;African_Caribbean;Africa
HG02052;African_Caribbean;Africa
HG01986;African_Caribbean;Africa
HG02502;African_Caribbean;Africa
HG02143;African_Caribbean;Africa
HG02427;African_Caribbean;Africa
