Symbol	POL SNP cum. AF	POL SNP cum. AC	POL SNP cum. AN	GnomAD NFE SNP cum. AF	GnomAD NFE SNP cum. AC	GnomAD NFE SNP cum. AN	P-value	Cum. SNP AF fold change	fisher_p	symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)	FILTER	pscaled_fisher_p	pscaled_P-value	diff	greater_AF_in
HPGD	0.002788104	6	2152	0.0002788313	18	64598	9.68352524172e-05	3.32181995259324	9.101230893320202e-05	HPGD	38.13	38.130001068115234	38.13	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.040899867676021	4.013966511047273	0.0025092727	PL
OBSL1	0.00325279	7	2152	0.0004336632	28	64598	0.0005642636703273	2.9070307564485	0.0001090564103383547	OBSL1	43.29	43.290000915527344	43.29	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.962348801495167	3.2485179105385567	0.0028191268	PL
WDR35	0.00371747	8	2152	0.0006041083	39	64598	0.0015939901545963	2.6214419863859	0.00011805822803209707	WDR35	38.19	38.18999862670898	38.19	100.0	100.0	100.0	99.61	99.61000061035156	99.61	PASS	3.9279037395093486	2.797514365385141	0.0031133617	PL
PROP1	0.00371747	8	2152	0.000619838	40	64598	0.0023692857356848	2.5843579906664	0.00013768597968133198	PROP1	30.83	30.82999992370605	30.83	100.0	100.0	100.0	93.92	93.91999816894533	93.92	PASS	3.861110280927062	2.6253825602362633	0.003097632	PL
AP4B1	0.0027881	6	2152	0.0003097648	20	64598	0.0004639760252184	3.17003718839618	0.0001473098187619798	AP4B1	34.81	34.810001373291016	34.81	100.0	100.0	100.0	98.6	98.5999984741211	98.6	PASS	3.8317683048068596	3.333504459928651	0.0024783352	PL
PADI3	0.00836431	18	2152	0.0184319913	1191	64598	1.78211973683544	-1.13989350340342	0.00020080274337488664	PADI3	35.77	35.77000045776367	35.77	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.697230358138391	-0.25093688000385994	-0.010067681299999999	NFE
CNGB3	0.004184755	9	2152	0.0008529246	55	64598	0.0107887517393646	2.29465304588097	0.0002060657339508529	CNGB3	35.29	35.290000915527344	35.29	100.0	100.0	100.0	99.38	99.37999725341795	99.38	PASS	3.6859942197360573	1.9670288003649108	0.0033318304	PL
FKBP14	0.00418216	9	2152	0.000867437	56	64598	0.0141662479609451	2.26941737032905	0.00023239566898217593	FKBP14	36.4	36.400001525878906	36.4	100.0	100.0	100.0	98.78	98.77999877929688	98.78	PASS	3.6337719698904367	1.8487451607355885	0.003314723	PL
USF2	0.0	0	2152	0.00385616	249	64598	13.6500589453579	0.0	0.000472721068880888	USF2	33.29	33.290000915527344	33.29	100.0	100.0	100.0	96.07	96.06999969482422	96.07	PASS	3.3253950410336643	-1.1351345268044961	-0.00385616	NFE
FLG2	0.0	0	2152	0.0038725211	250	64598	13.4004555847623	0.0	0.00047404024612720223	FLG2	33.94	33.939998626708984	33.94	100.0	100.0	100.0	99.55	99.5500030517578	99.55	PASS	3.3241847850580473	-1.1271195636323381	-0.0038725211	NFE
AC013717.1	0.0	0	2152	0.0039339654	254	64598	12.4476866811456	0.0	0.00048733030343680727											PASS	3.3121765822443994	-1.0950886482219264	-0.0039339654	NFE
COL18A1	0.00650558	14	2152	0.002246269	145	64598	0.351890304386711	1.53414697826771	0.0006795469945436599	COL18A1	44.02	44.02000045776367	44.02	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.1677805039568594	0.45359269909080674	0.004259311	PL
PLG	0.000464684	1	2152	0.0046621842	301	64598	14.4169154310129	-3.32668412963798	0.0009191858794732803	PLG	34.5	34.5	34.5	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.0365966558971635	-1.1588723509112815	-0.0041975002	NFE
SMN1	0.00093985	2	2152	0.0	0	64598	1.81960466935e-05	0.0	0.0010389308530373842	SMN1	10.26	10.260000228881836	10.26	48.62	48.619998931884766	48.62	20.49	20.489999771118164	20.49	LOW_DP	2.9834133563346645	4.740022957382675	0.00093985	PL
