Symbol	POL SNP cum. AF	POL SNP cum. AC	POL SNP cum. AN	GnomAD NFE SNP cum. AF	GnomAD NFE SNP cum. AC	GnomAD NFE SNP cum. AN	P-value	Cum. SNP AF fold change	fisher_p	fisher_p_corr	fisher_q	symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)	FILTER	pscaled_fisher_p	pscaled_fisher_p_corr	pscaled_P-value	diff	greater_AF_in
MTFMT	0.004646838	10	2152	0.0013318778	86	64598	0.417496929836519	1.80278762890879	0.0010822364488398935	2.03135781447248	0.07014600982875414	MTFMT	35.8	35.79999923706055	35.8	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.965677843473598	-0.3077864291477482	0.3793467138569322	0.0033149602000000005	PL
ENAM	0.003252788	7	2152	0.000681526	44	64598	0.228110314212842	2.25483619644717	0.001199193530920429	2.2508862575376454	0.07573368376043632	ENAM	34.17	34.16999816894531	34.17	100.0	100.0	100.0	99.67	99.66999816894533	99.67	PASS	2.92111072296593	-0.3523535496554165	0.6418550772641197	0.002571262	PL
MPZL2	0.004182158	9	2152	0.0011305156	73	64598	0.485549222606801	1.88726666731511	0.001308205544935884	2.455501807844654	0.08055275642942705	MPZL2	40.75	40.75	40.75	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.8833240144075747	-0.3901402582137715	0.3137667368724981	0.0030516424000000004	PL
DARS2	0.00325279	7	2152	0.0007125649	46	64598	0.374330474339426	2.19058435995427	0.0015100157126092086	2.8342994925674847	0.09071143171113367	DARS2	35.31	35.310001373291016	35.31	100.0	100.0	100.0	99.94	99.94000244140624	99.94	PASS	2.821018533591617	-0.45244573902972907	0.42674481542174697	0.0025402251	PL
GAA	0.002788108	6	2152	0.008541189	552	64598	11.2338993769755	-1.61515047176122	0.0016150120868640284	3.0313776870437814	0.09470892309395482	GAA	44.03	44.02999877929688	44.03	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.7918242230302726	-0.48164004959107365	-1.0505305295436838	-0.005753080999999999	NFE
BCHE	0.014405184	31	2152	0.0246422733	1592	64598	6.92705348963944	-0.774547265315741	0.0016728789408944015	3.1399937720587916	0.09582094956797467	BCHE	39.61	39.61000061035156	39.61	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.77653548593768	-0.49692878668366625	-0.8405485412048419	-0.0102370893	NFE
PYGM	0.000464684	1	2152	0.0043360702	280	64598	20.130097367375	-3.22206623784944	0.0019158846150351939	3.5961154224210587	0.10724599560981096	PYGM	42.36	42.36000061035156	42.36	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.7176306500395513	-0.555833622581795	-1.3038458755350237	-0.0038713862	NFE
PDZD7	0.0	0	2152	0.0031575365	204	64598	30.1075190740198	0.0	0.00226651057572623	4.254240350638134	0.124053678844749	PDZD7	35.58	35.58000183105469	35.58	100.0	100.0	100.0	98.65	98.6500015258789	98.65	PASS	2.644642250146512	-0.6288220224748344	-1.4786749701638977	-0.0031575365	NFE
MCCC1	0.0027881	6	2152	0.0005729791	37	64598	0.73286161346976	2.28272788559823	0.002446062142959075	4.591258642334184	0.13097067517626523	MCCC1	34.01	34.0099983215332	34.01	100.0	100.0	100.0	94.46	94.45999908447266	94.46	PASS	2.6115325137750447	-0.6619317588463018	0.13497802560511532	0.0022151209	PL
SCO2	0.00232342	5	2152	0.00041824	27	64598	0.988117778792699	2.47384701946796	0.0033790858572442088	6.3425441540473795	0.17707847800835078	SCO2	42.61	42.61000061035156	42.61	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.4712007733468315	-0.8022634992745146	0.005191286554904052	0.00190518	PL
ACADVL	0.0	0	2152	0.0030364815	196	64598	35.0123569074715	0.0	0.0034612283066044443	6.496725531496542	0.17760427748264054	ACADVL	38.4	38.400001525878906	38.4	100.0	100.0	100.0	99.0	99.0	99.0	PASS	2.460769753196967	-0.8126945194243791	-1.5442213469105959	-0.0030364815	NFE
NPHS2	0.002788108	6	2152	0.0006504302	42	64598	2.36374746715903	2.09982029686769	0.004296752081346235	8.065003656686883	0.2159775587011383	NPHS2	33.8	33.79999923706055	33.8	100.0	100.0	100.0	99.2	99.1999969482422	99.2	PASS	2.3668597039864374	-0.9066045686349091	-0.37360107649108826	0.0021376778	PL
NHLRC2	0.00185874	4	2152	0.0002787676	18	64598	1.43577058155038	2.73719018300409	0.0049508633773785475	9.292770559339534	0.24387952996966725	NHLRC2	37.34	37.34000015258789	37.34	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.3053190581704914	-0.9681452144508549	-0.15708505054240351	0.0015799724	PL
DNAH17	0.000929368	2	2152	3.09707e-05	2	64598	0.196753845100191	4.90727407452843	0.005969099881348461	11.20400047729106	0.28827241191688746	DNAH17	40.16	40.15999984741211	40.16	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.2240911539688457	-1.0493731186525008	0.7060767716017925	0.0008983973	PL
DUOX2	0.00139795	3	2152	0.0054851587	354	64598	31.0024427383637	-1.97222060092095	0.006115584831119586	11.478952728011462	0.28966702767399116	DUOX2	36.83	36.83000183105469	36.83	100.0	100.0	100.0	99.48	99.4800033569336	99.48	PASS	2.2135620052207847	-1.0599022674005616	-1.491395914027729	-0.0040872087	NFE
BCKDHB	0.003252784	7	2152	0.0009450935	61	64598	5.91896365582119	1.78314605366511	0.006264333045204865	11.758153125849532	0.2911141941573506	BCKDHB	34.51	34.5099983215332	34.51	100.0	100.0	100.0	99.79	99.79000091552734	99.79	PASS	2.2031251609357896	-1.0703391116855567	-0.7722456732841081	0.0023076905	PL
SLC19A1	0.002790264	6	2152	0.0007281182	47	64598	6.08189463096072	1.9381570523808	0.007018420355578316	13.1735750074205	0.32011795066276655	SLC19A1	47.43	47.43000030517578	47.43	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.1537606240600544	-1.119703648561292	-0.7840388917060536	0.0020621458000000003	PL
PIGT	0.00232342	5	2152	0.0005111561	33	64598	5.00173385647689	2.18441412816126	0.007184847786488824	13.485959295239523	0.3217505472385813	PIGT	36.67	36.66999816894531	36.67	100.0	100.0	100.0	99.91	99.91000366210938	99.91	PASS	2.1435824281126648	-1.1298818445086813	-0.6991205790900913	0.0018122639	PL
SLC34A3	0.0	0	2152	0.0025945798	168	64598	59.7201253238479	0.0	0.007318255272487658	13.736365146459335	0.3218725488595911	SLC34A3	40.78	40.77999877929688	40.78	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.1355924456967466	-1.1378718269246	-1.7761207104293857	-0.0025945798	NFE
RMRP	0.0	0	2152	0.0027259732	176	64598	51.2189370647737	0.0	0.007965753618105174	14.951719541183412	0.3442044063402288	RMRP	48.68	48.68000030517578	48.68	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.0987731305091843	-1.1746911421121617	-1.7094305614089944	-0.0027259732	NFE
HINT1	0.00232342	5	2152	0.0005420169	35	64598	7.69852438402334	2.09984023043354	0.008934570912132924	16.770189602073497	0.37941117511350675	HINT1	40.19	40.18999862670898	40.19	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.048926299897861	-1.2245379727234855	-0.8864074896802943	0.0017814031	PL
SCP2	0.00139405	3	2152	0.0001703472	11	64598	3.66354541612415	3.03273216773497	0.009330389932190737	17.513141902722015	0.3895042441184032	SCP2	36.03	36.02999877929688	36.03	100.0	100.0	100.0	100.0	100.0	100.0	PASS	2.0301002060005424	-1.243364066620804	-0.5639015797565176	0.0012237028	PL
CTC1	0.003252788	7	2152	0.0010533823	68	64598	14.4986099577471	1.626647674817	0.01057608071718	19.85130350614686	0.43414811344023896	CTC1	36.59	36.59000015258789	36.59	100.0	100.0	100.0	99.26	99.26000213623048	99.26	PASS	1.975675243288456	-1.2977890293328902	-1.1613263666061369	0.0021994057	PL
AGXT	0.0	0	2152	0.0024274356	157	64598	73.8702840939764	0.0	0.01089257882168167	20.445370448296497	0.4398101907836386	AGXT	40.39	40.38999938964844	40.39	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.9628692887070995	-1.3105949839142468	-1.8684697692553043	-0.0024274356	NFE
MUTYH	0.003718336	8	2152	0.0085482395	552	64598	42.4010011080514	-1.20097018682019	0.011262978818941862	21.140611243153874	0.44516078795353353	MUTYH	41.87	41.869998931884766	41.87	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.9483467326162989	-1.3251175400050472	-1.6273761106156062	-0.004829903500000001	NFE
USP45	0.001394052	3	2152	0.000185902	12	64598	6.05534109408866	2.90667018017921	0.011386573138884536	21.372597781686274	0.44516078795353353	USP45	35.95	35.95000076293945	35.95	100.0	100.0	100.0	99.65	99.6500015258789	99.65	PASS	1.9436069599245773	-1.329857312696769	-0.7821386117413743	0.00120815	PL
CLASP1	0.0	0	2152	0.0025397247	164	64598	64.5076381328734	0.0	0.011762750616815011	22.078682907761777	0.4526821057689902	CLASP1	36.53	36.52999877929688	36.53	100.0	100.0	100.0	99.36	99.36000061035156	99.36	PASS	1.92949111040079	-1.3439731622205564	-1.809611141031578	-0.0025397247	NFE
BLM	0.00325279	7	2152	0.0010845527	70	64598	18.1449777557033	1.58457752767498	0.012128959515496673	22.766057010587254	0.4554305960897681	BLM	36.98	36.97999954223633	36.98	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.9161764535489174	-1.357287819072429	-1.258756440126477	0.0021682373000000005	PL
VWF	0.013012016	28	2152	0.0076959417	497	64598	17.7492737402418	0.757674726238358	0.012203986740529717	22.90688311197428	0.4554305960897681	VWF	35.99	35.9900016784668	35.99	100.0	100.0	100.0	98.98	98.9800033569336	98.98	PASS	1.9134982728845884	-1.359965999736758	-1.2491805874159994	0.005316074299999999	PL
FANCD2	0.001859168	4	2152	0.0003871877	25	64598	13.2541428938967	2.26355211481798	0.013452418752658173	25.25018999873939	0.48725452040878053	FANCD2	37.01	37.0099983215332	37.01	100.0	100.0	100.0	99.9	99.9000015258789	99.9	PASS	1.8711996222421656	-1.4022646503791807	-1.1223516484413096	0.0014719803	PL
HSD17B4	0.001858734	4	2152	0.000387256	25	64598	13.2541428938967	2.26296082671905	0.013452418752658173	25.25018999873939	0.48725452040878053	HSD17B4	33.97	33.970001220703125	33.97	100.0	100.0	100.0	99.37	99.37000274658205	99.37	PASS	1.8711996222421656	-1.4022646503791807	-1.1223516484413096	0.001471478	PL
IFT52	0.000929368	2	2152	6.19445e-05	4	64598	4.77106730324581	3.90720187333964	0.014293033102316506	26.82802313304808	0.502910579014365	IFT52	40.04	40.040000915527344	40.04	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.8448756004726816	-1.4285886721486647	-0.6786155429940771	0.0008674234999999999	PL
TDP1	0.000929368	2	2152	6.19559e-05	4	64598	4.77106730324581	3.90693639036278	0.014293033102316506	26.82802313304808	0.502910579014365	TDP1	37.2	37.20000076293945	37.2	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.8448756004726816	-1.4285886721486647	-0.6786155429940771	0.0008674121	PL
ASPA	0.002323418	5	2152	0.0006195209	40	64598	19.0793492007742	1.90702387026052	0.014545227222648564	27.301391496911354	0.5045759809772312	ASPA	40.27	40.27000045776367	40.27	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.8372794899018556	-1.4361847827194907	-1.2805635567762024	0.0017038970999999998	PL
ADAMTS13	0.00139405	3	2152	0.0002168362	14	64598	13.8949831666981	2.68460477237048	0.016222324970788862	30.449303970170696	0.5549387000424024	ADAMTS13	39.02	39.02000045776367	39.02	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.7898869029223687	-1.4835773696989776	-1.142858024980641	0.0011772138	PL
GYS2	0.0027881	6	2152	0.0008983518	58	64598	28.4680820597951	1.63392987803546	0.017037069557922186	31.978579560219945	0.5748260591940048	GYS2	36.86	36.86000061035156	36.86	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.7686051034818868	-1.5048591691394595	-1.454358209018905	0.0018897482	PL
MTO1	0.00232342	5	2152	0.0006505358	42	64598	25.9557296722812	1.83654961282731	0.01732924984345435	32.527001956163815	0.5767830049247036	MTO1	34.3	34.29999923706055	34.3	100.0	100.0	100.0	98.02	98.0199966430664	98.02	PASS	1.7612202368186674	-1.512244035802679	-1.4142332423534159	0.0016728842	PL
SGSH	0.003717904	8	2152	0.0014868346	96	64598	40.5146475024128	1.32224535237429	0.019449554658641947	36.506814094270936	0.6264744910044187	SGSH	42.74	42.7400016784668	42.74	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.7110903383747063	-1.56237393424664	-1.6076120646815384	0.0022310694	PL
DCLRE1C	0.000929368	2	2152	7.7458e-05	5	64598	12.0531891923326	3.58476381489419	0.01958527641386124	36.76156382881754	0.6264744910044187	DCLRE1C	36.21	36.209999084472656	36.21	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.708070294722828	-1.5653939778985184	-1.0811019734983032	0.00085191	PL
NAGA	0.0009298	2	2152	7.74444e-05	5	64598	12.0531891923326	3.58568759915123	0.01958527641386124	36.76156382881754	0.6264744910044187	NAGA	37.42	37.41999816894531	37.42	100.0	100.0	100.0	99.3	99.3000030517578	99.3	PASS	1.708070294722828	-1.5653939778985184	-1.0811019734983032	0.0008523556	PL
CYP27A1	0.003252792	7	2152	0.0012078883	78	64598	39.7741159021105	1.42919152512342	0.01999829298988819	37.536795942020134	0.6314845594114694	CYP27A1	41.31	41.310001373291016	41.31	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.6990070731715687	-1.5744571994497776	-1.599600534940815	0.0020449037	PL
PCDH15	0.001858736	4	2152	0.0004492958	29	64598	30.9093097279164	2.04858439516041	0.020949192040369942	39.32163345977438	0.653137468296597	PCDH15	33.42	33.41999816894531	33.42	100.0	100.0	100.0	98.45	98.4499969482422	98.45	PASS	1.678832722061666	-1.5946315505596804	-1.4900893064316558	0.0014094402	PL
B9D1	0.00139405	3	2152	0.0002477842	16	64598	26.8456538359024	2.49212620503333	0.022040726657581066	41.37044393627966	0.6785788719702771	B9D1	44.73	44.72999954223633	44.73	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.6567740913912408	-1.6166901812301055	-1.4288739858320005	0.0011462657999999999	PL
POLR3B	0.0027881	6	2152	0.0009603359	62	64598	43.8543313034143	1.53767129123422	0.022343296250220128	41.93836706166318	0.6794017119048417	POLR3B	35.83	35.83000183105469	35.83	100.0	100.0	100.0	99.74	99.73999786376952	99.74	PASS	1.6508527561228092	-1.622611516498537	-1.6420124932157893	0.0018277641	PL
ANO6	0.0	0	2152	0.002028817	131	64598	123.122341055826	0.0	0.02374830995536844	44.57557778622656	0.7022791219613511	ANO6	37.1	37.09999847412109	37.1	100.0	100.0	100.0	99.97	99.97000122070312	99.97	PASS	1.6243672914359026	-1.6490969811854437	-2.0903368646041334	-0.002028817	NFE
