symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)
EPHA7	37.06	37.060001373291016	37.06	100.0	100.0	100.0	99.8	99.80000305175781	99.8
ARHGAP35	41.7	41.70000076293945	41.7	100.0	100.0	100.0	100.0	100.0	100.0
ATP6V0D1	45.98	45.97999954223633	45.98	100.0	100.0	100.0	100.0	100.0	100.0
SLC33A1	37.27	37.27000045776367	37.27	100.0	100.0	100.0	99.76	99.76000213623047	99.76
NADSYN1	40.45	40.45000076293945	40.45	100.0	100.0	100.0	100.0	100.0	100.0
LOC102724874	37.02	37.02000045776367	37.02	100.0	100.0	100.0	100.0	100.0	100.0
LINC02261	38.16	38.15999984741211	38.16	100.0	100.0	100.0	100.0	100.0	100.0
LOC102724659	36.72	36.720001220703125	36.72	100.0	100.0	100.0	100.0	100.0	100.0
MAFA-AS1	36.79	36.790000915527344	36.79	100.0	100.0	100.0	100.0	100.0	100.0
ADAMTS9-AS1	35.94	35.939998626708984	35.94	100.0	100.0	100.0	99.85	99.8499984741211	99.85
LINC02325	34.31	34.310001373291016	34.31	100.0	100.0	100.0	100.0	100.0	100.0
LOC101929452	37.23	37.22999954223633	37.23	100.0	100.0	100.0	100.0	100.0	100.0
PAM	35.8	35.79999923706055	35.8	100.0	100.0	100.0	100.0	100.0	100.0
ATR	36.59	36.59000015258789	36.59	100.0	100.0	100.0	99.54	99.54000091552734	99.54
LINC01672	35.99	35.9900016784668	35.99	100.0	100.0	100.0	100.0	100.0	100.0
MIR6789	45.96	45.959999084472656	45.96	100.0	100.0	100.0	100.0	100.0	100.0
BCHE	39.61	39.61000061035156	39.61	100.0	100.0	100.0	100.0	100.0	100.0
FUCA1	37.87	37.869998931884766	37.87	100.0	100.0	100.0	100.0	100.0	100.0
MSH2	40.54	40.540000915527344	40.54	100.0	100.0	100.0	100.0	100.0	100.0
SMN1	10.26	10.260000228881836	10.26	48.62	48.619998931884766	48.62	20.49	20.489999771118164	20.49
MVK	41.78	41.779998779296875	41.78	100.0	100.0	100.0	100.0	100.0	100.0
RPL9	38.44	38.439998626708984	38.44	100.0	100.0	100.0	100.0	100.0	100.0
SNORD8	31.94	31.940000534057617	31.94	100.0	100.0	100.0	100.0	100.0	100.0
SNORA16A	33.96	33.959999084472656	33.96	100.0	100.0	100.0	100.0	100.0	100.0
RGPD1	4.72	4.71999979019165	4.72	16.15	16.149999618530273	16.15	2.26	2.259999990463257	2.26
RAB12	31.35	31.350000381469727	31.35	100.0	100.0	100.0	95.04	95.04000091552734	95.04
SAMD5	37.61	37.61000061035156	37.61	100.0	100.0	100.0	99.67	99.66999816894531	99.67
NAPA	41.56	41.560001373291016	41.56	100.0	100.0	100.0	100.0	100.0	100.0
CSRP1	30.73	30.729999542236328	30.73	100.0	100.0	100.0	95.86	95.86000061035156	95.86
KRTAP6-1	34.62	34.619998931884766	34.62	100.0	100.0	100.0	100.0	100.0	100.0
CPSF3	38.56	38.560001373291016	38.56	100.0	100.0	100.0	100.0	100.0	100.0
NUSAP1	37.27	37.27000045776367	37.27	100.0	100.0	100.0	100.0	100.0	100.0
ACKR4	31.1	31.100000381469727	31.1	100.0	100.0	100.0	96.12	96.12000274658203	96.12
GCNT4	35.11	35.11000061035156	35.11	100.0	100.0	100.0	100.0	100.0	100.0
LOC101927259	37.4	37.400001525878906	37.4	100.0	100.0	100.0	100.0	100.0	100.0
MARCH10	34.48	34.69499969482422	34.91	100.0	100.0	100.0	100.0	100.0	100.0
TBC1D32	36.82	36.81999969482422	36.82	100.0	100.0	100.0	100.0	100.0	100.0
